Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2023-01-03,88.97631857972549,90.4263244711382,87.91364821898763,88.5095443725586,28131200,237.84825439790933,240.46078689316013,232.290495791577,234.423583984375,25740000,128.46817802573926,129.07955079083166,122.44314998227297,123.33063507080078,112117500
2023-01-04,89.73111687687052,90.02906496049344,86.67221251659535,87.47666931152344,34854800,227.28067869083657,227.85797664505387,221.09671066302377,224.16912841796875,50623400,125.12531965096696,126.87070818781424,123.34049402108371,124.60269165039062,89113600
2023-01-05,86.87084008200145,86.97015357614328,85.31159473485968,85.60953521728516,27194400,222.31002156690943,222.65249456632077,216.98710309720292,217.5252685546875,39585600,125.36199059273537,125.99308946159266,123.02495518012978,123.28133392333984,80962700
2023-01-06,86.19549412333996,87.08933068765106,84.27871421542477,86.7417221069336,41381500,218.20044363304228,220.90103567706186,214.62900736635714,220.08889770507812,43613600,124.25755655822216,128.47802503978542,123.15312990740499,127.81734466552734,87754700
2023-01-09,87.75474345560666,89.4331695495465,87.25816840553064,87.41706848144531,29003900,221.57615730202494,226.26307141609416,221.53702478368263,222.2317352294922,27369800,128.65553802002677,131.55465346679887,128.08360234953716,128.33998107910156,70790800
2023-01-10,85.39105735353961,88.06262623356912,85.24208330842042,87.81433868408203,30467800,222.85797845401495,226.33157576127422,222.43724039296023,223.92453002929688,27033900,128.4484917902968,129.43458496707456,126.33825299385596,128.91195678710938,63896200
2023-01-11,88.56912924744373,90.97255075305516,88.40029554318691,90.89309692382812,26862000,226.311983326322,230.87169062751605,226.13586459822005,230.69557189941406,28669300,129.4246914378982,131.6532559460779,128.64568467754964,131.633544921875,69458900
2023-01-12,90.85337642641241,91.24070436753142,89.13522338270101,90.50576782226562,30258100,230.1965511287431,234.73668494527053,228.53314279943885,233.37660217285156,27269500,132.01813716022232,132.39284227281698,129.6120678053339,131.55467224121094,71379600
2023-01-13,90.22768590186173,91.55851098824732,89.51261661092427,91.4889907836914,26329200,231.8991004502628,234.21808667704465,229.8638660470709,234.0811004638672,21333300,130.1938350469048,133.04364272167805,129.82898551497536,132.8858642578125,57809700
2023-01-17,91.42939508883157,91.6180960310852,89.4331688584874,90.6646728515625,32602400,232.84823653758127,235.72496209284455,231.9871717644744,235.17701721191406,29831300,132.95495069414824,135.38073158991477,132.26468844927925,134.0495147705078,63646600
2023-01-18,91.50885948679696,92.16434226058483,90.01913417597157,90.495849609375,29116700,236.37074903194667,237.16331319071614,230.4509588691296,230.73471069335938,30028700,134.91723044564642,136.68233001992917,133.15211582478094,133.32962036132812,69672800
2023-01-19,90.09857897517838,92.96878218001514,90.00919152538334,92.4126205444336,37000400,228.74840601373435,230.4509617716894,225.71512062356072,226.93821716308594,28623000,132.21535608370812,134.3551761664197,131.90966964997585,133.38880920410156,58280400
2023-01-20,94.44857523506278,97.62666017673301,94.36912140666584,97.34857177734375,63191100,229.80518098211877,235.55863232657438,229.46270795242353,235.04981994628906,35389800,133.3986594670003,136.10055969629155,132.3534032973474,135.95263671875,80223600
2023-01-23,97.2790527522602,99.35474047579733,96.83213822208886,99.10645294189453,40005100,235.91083633446067,239.89323039386977,234.49203258582432,237.35897827148438,31934000,136.19914460303502,141.32683964763805,135.9822029643826,139.14756774902344,81760300
2023-01-24,97.42803093472394,98.9276898249223,96.5341942592039,97.03076934814453,33078500,237.28073354657224,238.6995225755174,235.26507279685154,236.83062744140625,40234400,138.35869358432294,141.16906439218428,138.34883807200805,140.54782104492188,66435100
2023-01-25,94.91535768313268,95.50132020032594,93.11775837133916,94.56775665283203,42330000,229.4333414223457,238.0635179347867,225.93039107535145,235.43141174316406,66526600,138.93064978868992,140.44922647148869,136.87957443059517,139.8871612548828,65799300
2023-01-26,95.83898757649443,96.90165791285827,94.7266567027606,96.85199737548828,30114000,238.4059565934867,242.9656637907967,236.79147523449313,242.66233825683594,33454500,141.17890975078,142.24389182095663,139.9265676340099,141.9579315185547,54105100
2023-01-27,96.6434366363265,99.63282064646212,96.6434366363265,98.6893310546875,33879800,243.63104656960752,244.4529638450001,241.5175322068459,242.81890869140625,26498900,141.16907645645273,145.18246711281154,141.09018721144076,143.90054321289062,70555800
2023-01-30,96.8122800793185,97.61672927716072,95.73967609743931,96.2759780883789,27226200,239.24745305758034,240.31400454491248,236.9871731308744,237.4862060546875,25867400,142.9440712375221,143.52586259132485,140.86341406597097,141.01132202148438,64015300
2023-01-31,96.20645682604395,98.20268315266414,96.15679628817142,98.16295623779297,29870700,238.21027910171549,242.61342664492787,237.72104048580297,242.4764404296875,26541100,140.71547141700836,142.3326633733732,140.30131415280843,142.28335571289062,65874500
2023-02-01,98.03385353408179,100.49686931883123,96.91159655644073,99.74207305908203,35531100,242.66233781914565,249.68779672329654,240.18679177695304,247.3101043701172,31259900,141.96779872652098,144.57108343034756,139.35465851027638,143.40748596191406,77663600
2023-02-02,105.07529269327897,107.11124602798093,104.8865917332853,107.00199890136719,69883800,253.2494332319818,258.9930886466887,251.71321712126053,258.905029296875,39940400,146.829192495351,149.07748257847402,146.1093490595337,148.72250366210938,118339000
2023-02-03,102.22494486291488,107.07151484914603,101.87734382713276,104.06227111816406,65309300,253.95400217102897,258.5137098891533,251.56651521371487,252.78961181640625,29077300,145.97134140477755,155.19131670929613,145.774125819744,152.3513641357422,154357300
2023-02-06,101.69857720610024,103.64515059717341,101.1821348832258,102.19515228271484,31999600,251.89916890250527,252.74064494846758,249.29641600703994,251.2435760498047,22518000,150.4482332133508,150.97086135861267,148.6831181180358,149.61990356445312,69858300
2023-02-07,102.51295768495851,107.43898142309807,102.413644187333,106.90267944335938,49010200,254.92269717724312,262.985340807931,254.48237043515354,261.8013916015625,50841400,148.54505515759215,153.07121860652774,148.54505515759215,152.49928283691406,83322600
2023-02-08,101.35097370371372,102.43350370738915,97.36843956449569,98.6893310546875,94743500,267.3200070611244,270.8033838180028,260.4804305117884,260.9892578125,54686000,151.7399690202295,152.4302309897519,149.06765083879986,149.80722045898438,64120100
