Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,RMSE_Improvement,Predictions
Linear Regression,3.4193193851344263,6.135833059107849,2.3937472108499147,4.263276888756615,0.997656653211049,0.9786968068020979,26.513589911597496,"[418.84465213 418.37784805 418.09240354 416.8940617  420.79514262
 417.10685183 416.37151021 413.91822321 420.49153804 420.72356576
 422.04994011 418.86904122 423.39807168 417.83203063 410.12127256
 411.33360092 408.92641301 401.3920989  396.10519343 397.85614319
 404.52636451 406.00455687 392.46207334 404.22748746 399.25313531
 386.20429922 391.01826111 395.4829888  403.55774507 409.40385348
 405.88506706 405.95817109 408.49676661 410.43835338 409.61076163
 411.77419509 419.05985241 417.51703382 416.87146052 420.89627688
 424.74041402 426.76639098 423.51076783 425.76841605 426.88162479
 424.93039048 410.92888369 411.05941751 411.14672645 412.61787769
 420.00785324 421.18904251 421.26273172 424.22343504 427.59738069
 435.78474684 438.23021135 438.02366225 443.53735227 443.57885208
 442.6568036  446.86902275 445.1218781  448.02328259 448.83175407
 449.69314946 443.92611778 451.80410248 455.01495892 457.34460612
 462.40880977 463.06500086 456.18606193 462.10755235 450.91761605
 450.46315547 451.49359945 446.92394321 440.19414205 437.64558089
 433.08470032 440.56215958 442.34930254 425.48682194 416.17901584
 421.84254071 425.75480805 420.25061807 415.83174661 414.69726791
 406.41119042 389.93771288 398.36571865 398.14981334 401.6333927
 403.95605028 404.50822849 410.84283791 413.61369704 418.48514815
 415.94797512 418.6325668  421.8694994  421.2624965  412.54120149
 414.06744785 411.30869085 411.12306464 407.9725579  409.52308099
 414.15691429 406.02624855 404.75293531 404.81968242 398.98541839
 403.3769346  410.56738353 417.81468458 423.20432271 426.47740883
 427.81532443 432.40190603 428.17772172 436.79306634 432.78423022
 431.23362052 427.16056558 429.79879777 429.61332255 426.32080408
 427.75672189 418.28646264 415.62751497 414.69936321 414.48835194
 407.97475799 412.54260177 415.61452237 413.80992642 414.631425
 416.81850015 416.99292815 413.65535494 415.57654568 416.33156784
 416.59671523 423.30324037 422.84407258 422.77547246 426.02059509
 424.94094401 428.75921    430.97691063 402.84015164 408.28466144
 407.69493726 409.0401947  416.74976942 422.61709067 420.25733952
 415.12202051 419.29381979 420.6363447  423.62244587 412.01497771
 413.40204879 415.16037237 413.29881658 411.80245877 414.67503899
 417.34689726 424.42268826 420.84374656 420.16973692 427.06635136
 429.26446372 434.68815722 439.70598773 441.87737548 443.35128288
 441.13630618 446.34650453 447.62618669 445.52571224 449.10210239
 452.35411302 435.17342466 436.01065082 432.9734662  434.62502346
 437.8878045  437.0734321  428.44104533 423.48052584 420.8637701
 417.35389247 422.72931085 426.93528531 421.42889936 423.50626131
 418.0030865  415.52572566 414.70524272 424.31999081 424.41555576
 428.81938325 427.57989748 443.13563065 444.39268791 441.84711083
 428.92507066 442.10562835 441.37939717 411.06116792 415.04605424
 410.61423098 412.53124313 412.46825893 414.45029772 408.10199761
 411.40563693 409.3897954  406.09817303 408.74518626 407.35003672
 408.33368441 412.19970814 415.56660349 407.76064376 403.27621935
 397.70206552 398.59845786 391.9820129  395.15741143 388.60136032
 386.40299906 398.41557958 394.58117881 391.29021885 379.06383376
 379.45056424 383.33409192 378.89979139 386.48388001 387.9429236
 383.08334014 386.7150577  384.98177734 388.1173623  392.86529881
 394.15213295 389.03956732 389.51689109 377.60419918 372.87154483
 380.40100608 380.27477252 371.284644   357.34206189 353.38307891
 354.58596906 380.83595021 378.60567733 385.26052594 387.36898738
 384.19094169 369.78274962 367.50467097 358.93269163 366.73687789
 375.60881724 383.56862721 389.58675967 389.09811525 391.81562605
 390.93091916 425.43331517 432.71940038 433.02160867 430.7823703
 431.53338268 436.53625614 437.70286674 447.17954433 447.62255133
 451.07402336 451.82324889 452.81319101 456.38725671 457.55947481
 452.14126178 454.86500801 450.29643711 460.98752716 458.35191327
 459.38447014 460.83132007 461.8897634  463.74343324 465.08831211
 468.23266926 471.67719524 473.5351846  471.54364215 473.29300009
 479.55818236 475.95249201 479.69995425 478.91665561 480.87055978
 478.86833972 484.37698716 491.34601461 493.31062292 497.77838583
 496.46205955 498.14275619 492.95927188 491.72107404 499.03388883
 498.83881206 497.31971201 503.46073251 501.65868739 502.17657773
 503.32306318 505.39574306 505.92293423 510.83065974 510.56878694
 509.41138384 506.50740765 506.39298294 511.32261129 513.73212872
 513.36797587 513.39657149 514.07361404 535.6168329  524.02812181
 533.99700555 528.69709241 525.53274934 521.45509516 522.82731351
 522.25133071 528.99216674 521.44452827 522.52879388 520.90777001
 517.23591307 510.70614842 506.67841815 506.32098969 508.15105099
 506.64783799 503.51302116 507.86880749 510.99998159 508.3001338
 504.51243817 506.59345962 509.06913461 495.40425563 499.86153529
 501.21971626 502.49033558 502.84221905 510.41291696 515.01078573
 510.08387076 510.85584205 509.53216546 517.39458573 515.73533036
 510.27377939 511.50168539 508.52256857 512.27465033 514.52698444
 517.43297424 518.90671258 515.32840344 517.71634182 526.67072192
 524.59131928 525.48832651]"
Ridge Regression,3.421386254475996,6.153201954316836,2.3968524514754512,4.279967583816045,0.997653819398277,0.9785760288636146,26.30556962424377,"[418.94372565 418.45169258 418.04603969 416.93041146 420.96126553
 416.99456228 416.51881055 414.13969157 420.57439929 420.79725011
 422.10044054 418.77424977 423.54182791 417.74275183 410.44408601
 411.63258141 409.24093494 401.60100698 396.13948451 397.80757235
 404.49727126 405.96621457 391.91330816 404.42848197 399.11777237
 386.43764971 391.26439481 395.69534014 403.71190376 409.05162978
 405.89243552 405.82687478 408.33201641 410.37486523 409.41398158
 411.80212529 418.99883193 417.59101451 416.70890533 420.93995352
 424.97890086 426.71736253 423.54738021 425.76827537 426.81722255
 425.16568912 411.04579695 410.88020624 411.17779485 412.78933006
 419.92928481 421.25105149 421.37171932 424.24324123 427.70030473
 435.94606524 438.38802848 438.11069276 443.64319635 443.64719162
 442.479811   446.88595517 445.31263658 447.89055013 448.656635
 449.75615575 443.86912966 451.61389831 454.84292396 457.3940579
 462.23738299 463.11636663 456.21679496 462.04571433 451.02616079
 450.67850495 451.59602426 447.0996302  439.95637057 437.43669031
 433.25618538 440.57240602 442.48804    425.55670429 416.3358555
 422.10600126 425.93781033 420.0835968  415.5790962  415.06008634
 406.25457945 389.80513975 398.69227595 398.36285971 401.71708118
 403.63125352 404.35008281 410.6164421  413.33125882 418.29033932
 415.8200164  418.56385978 421.7895377  421.25433664 412.62472582
 414.06358529 411.28280155 411.08180556 407.72834949 409.95160967
 413.97184435 406.15534637 404.88759846 405.22159954 399.51282587
 403.61836774 411.0473249  417.89054413 423.19210622 426.71752
 427.99604505 432.68295937 428.39366878 437.05350754 432.92184031
 431.38226648 426.92017148 429.92604782 429.48722366 426.39129925
 427.5366159  418.21973655 415.72433543 414.64516583 414.77699597
 408.14381726 412.67476519 415.79171008 413.89951057 414.48853354
 417.22591719 416.94499821 413.4029697  415.65216488 416.40463232
 416.44956153 423.36410051 422.70508395 422.64883347 426.11685166
 424.98247048 428.56022809 431.00668649 402.79459964 408.55606665
 407.56852072 409.49773558 416.36623649 422.78138109 420.21600438
 415.10022819 419.34580339 420.80850552 423.66896949 412.25975155
 413.76156028 415.13906826 413.28681055 411.77071503 414.82124534
 417.37774111 424.33275641 420.68479622 420.13587597 427.07620402
 429.37102564 434.82404833 439.73751951 442.14541479 443.29692795
 441.35470754 446.47304884 447.99406995 445.66728143 448.93132911
 452.3376208  435.27342161 436.20914079 433.187874   434.86367839
 437.83275519 437.26797998 428.36796614 423.46841653 421.09432944
 417.49079261 422.93868725 427.37807073 421.58259914 423.52731456
 417.80472315 415.49580292 414.47065356 424.51552502 424.34702063
 428.82269323 427.16069574 443.11453925 443.94715225 441.74600273
 428.44124324 442.04494043 441.05669378 411.046957   415.17850994
 410.90971533 412.68710406 412.0700578  414.77868919 408.15413341
 411.58187686 409.40880458 406.33800219 409.00608238 407.66831374
 408.62407602 412.40500987 415.8572787  407.95182239 403.20893817
 397.76632032 398.68288654 392.12999666 394.86478793 388.37664264
 386.49968821 398.14080508 394.75383928 390.89558691 378.90020616
 379.9594033  383.24183844 379.21392783 386.59470626 388.20076089
 383.10709819 386.60861512 385.19875438 388.15937954 392.73184875
 394.31235336 389.00371943 389.60628046 377.65063062 372.89162212
 380.44888199 380.55954069 371.17259455 357.90281912 353.86898659
 354.95325348 380.95370154 377.76458519 385.57395988 386.99053243
 384.87312215 369.51037521 368.08834812 359.22406272 367.07596177
 375.8168284  383.51587761 389.10152852 388.76057646 391.64434207
 390.59805999 426.13680125 432.70723735 433.22365327 430.71723711
 431.99182149 436.75952528 437.69281141 446.99104469 447.50822843
 451.03239105 451.5776865  452.57624363 456.31507267 457.65696914
 452.52323549 455.39842683 450.6751099  461.35431141 458.60735849
 459.75468423 460.79450227 462.14315859 463.77042625 465.25730417
 468.38583595 471.82210464 473.47324942 471.27132704 473.37695559
 479.42685184 475.82771326 479.57801943 478.58368312 480.59517268
 478.61791347 483.99163248 491.05698003 493.15774706 497.44966737
 496.23546829 498.08874716 492.8259819  491.81025494 499.02533594
 498.79235488 497.16158998 503.53661095 501.53432708 502.1623853
 503.25717054 505.68000646 505.78885239 510.995533   510.46214591
 509.56060937 506.59113107 506.31851667 511.4525769  513.97727924
 513.27607499 513.47971923 513.9437533  536.07513715 523.80088503
 534.24562152 528.50491875 525.9413971  521.10192917 523.1064361
 522.43225524 529.12770826 521.39985172 522.59507373 520.88119611
 517.28554464 510.58931413 506.90606251 506.58549174 508.34620426
 506.75681591 503.44937289 507.87098162 511.05270191 508.24732706
 504.24299431 506.6939536  509.01576092 495.47028378 499.96250905
 501.23347799 502.46722553 502.4672035  510.42843426 514.68041584
 510.0046058  510.53936757 509.60634543 517.61791253 515.64411451
 510.41800503 511.46864124 508.71096213 512.28756647 514.49239725
 517.37754792 518.72433901 515.32252931 517.85617197 526.92291127
 524.76926661 525.83962532]"
Random Forest,1.9249321933287662,45.73095175601715,1.3521311945335717,30.87564176293403,0.9992573433077067,-0.18336335392927405,-447.70125622750544,"[416.72670855 416.48512058 417.04076764 416.39075744 416.77812412
 416.64166626 416.79260796 416.62204991 416.69590997 416.82402478
 416.97829468 416.49654658 416.83747275 416.15137878 416.47383045
 415.98043356 415.66250306 411.95758865 411.52711548 411.3381769
 411.83617028 413.48331608 410.59136941 412.70033621 410.99025933
 410.16065277 410.37057346 410.44063253 410.89985943 413.3510261
 413.49320645 413.6628494  413.17306006 414.39320368 415.04509827
 414.63452174 415.97429121 416.27131112 416.46268246 416.8015136
 417.03879755 417.1030938  416.64166626 417.04076764 417.01805151
 416.62167238 416.31808196 413.90001152 414.53477321 415.68535459
 416.38549714 416.89254819 416.81822598 416.89254819 416.90462631
 417.05284577 416.63156633 416.64117665 416.98966861 416.62602631
 416.65917746 417.09729501 416.64874244 416.89558741 416.95487435
 416.54920295 416.54098402 416.90462631 416.56731998 417.03496884
 416.98966861 416.50296217 416.54098402 416.90462631 416.68920347
 416.62167238 416.50626086 416.47383045 416.47383045 416.47383045
 416.42629325 416.938155   416.92607687 416.62204991 416.32259072
 416.88081156 416.86873343 416.45469631 416.10980525 416.25881137
 412.73304208 409.94461737 412.25838148 410.70144332 411.32943658
 411.82978842 413.34205577 415.17524916 415.54739492 416.356743
 416.18676075 416.40756841 416.76575571 416.70137792 416.68920347
 417.04076764 416.38459443 416.09137477 414.79607263 415.90317142
 415.91680147 415.19308873 413.94057679 414.34087843 411.95903381
 412.23389323 414.4293806  416.65712248 416.89454887 416.95557855
 416.55379807 416.95487435 416.77424576 417.13788806 416.62602631
 416.63262205 416.58432282 417.04076764 416.67580533 416.74333642
 416.86983206 416.62204991 416.62204991 416.56728228 416.29881068
 416.17808948 414.73570932 416.71682773 415.99065773 416.52611102
 416.8026785  416.65295016 415.8995144  416.82539462 416.94509915
 416.50230584 416.90462631 416.54098402 416.9300882  416.86983206
 416.54098402 416.90462631 416.86983206 414.76974537 414.70408403
 413.66155623 414.05118461 416.18557657 416.92934313 416.544566
 416.62204991 416.9856922  416.54894239 416.63163661 416.22518002
 416.43419047 416.45950022 415.74056154 416.54452665 416.30986347
 416.47501232 416.88549217 416.15173937 416.52998332 416.70513646
 416.64487    417.13788806 417.13788806 416.59521475 416.53415564
 416.22645761 416.6419593  416.95487435 416.62602631 416.9421314
 416.95487435 416.18475412 416.55275992 416.76344253 416.74507075
 416.86873343 416.75687122 416.34071927 416.67618286 416.40634826
 416.32505794 416.7422448  416.70781341 416.31778392 416.92607687
 416.62204991 416.62204991 416.53984604 416.9856922  416.6137099
 416.92321925 416.65295016 417.03300742 416.99821316 416.66936512
 416.68920347 417.13788806 416.66936512 416.51716926 416.84601731
 415.37301749 415.44451265 415.58711161 416.69102086 416.31267343
 415.62427796 415.18204557 413.49541942 413.78704111 413.38222583
 413.66605176 415.44967093 416.7433417  416.1789243  411.69495789
 411.29456045 411.90450824 410.75257102 409.85078513 409.64893679
 407.73957697 410.0533     409.85206886 409.73716385 406.99355784
 401.25188727 399.15989445 397.40722632 399.98753135 403.3132829
 402.88386008 405.15226718 405.91941417 404.1875663  406.67779252
 407.61597192 407.6390549  408.00877391 405.90894036 399.14898918
 398.25566296 394.46530476 391.60270562 391.94232983 360.36130846
 379.27608933 380.69650184 385.04233003 388.62357091 395.12495157
 397.75234719 395.36884368 388.479265   383.42275316 382.52353696
 385.90929535 386.32213931 391.76213685 394.88861543 398.50096411
 397.35483496 405.00807618 405.98949708 406.86155192 406.90864454
 408.90873796 408.57783384 411.0775982  410.40197056 410.67278963
 409.8879065  410.33830259 415.61815143 417.00193711 416.70997389
 416.35605186 416.67378201 416.74333642 416.78769825 416.3499636
 416.99323043 416.50176828 416.56185189 416.62302589 417.03496884
 416.86983206 416.89254819 416.95487435 416.27137168 416.86983206
 416.98966861 416.19128881 416.86983206 416.62167238 416.86983206
 416.54098402 416.90462631 416.81054512 416.89558741 416.9421314
 416.62167238 416.90733714 416.48169708 416.58510157 416.98966861
 416.53813097 416.50296217 416.6067905  416.56370014 416.5935397
 416.69621873 416.60367156 416.89254819 416.98966861 416.62167238
 416.89254819 416.54757976 416.86983206 416.90462631 416.86983206
 416.62167238 416.86983206 416.86983206 416.98966861 416.09238989
 417.03300742 416.66936512 416.66936512 416.7119196  416.99323043
 417.01805151 417.05284577 416.36574136 416.64487    416.26820847
 416.30522815 416.51716926 416.14965091 416.67791719 416.84601731
 416.61625111 416.51716926 416.92607687 416.74339156 416.11969097
 416.20037933 416.46635084 416.53207373 416.47383045 416.58194722
 416.5044746  416.47492621 416.8026785  416.85708911 416.63868505
 416.48169708 416.89254819 416.55451882 416.69036917 416.54098402
 416.48169708 416.46845883 416.59511697 416.55379807 416.86983206
 416.86983206 416.86983206 416.54098402 416.4391073  416.85708911
 416.59511697 416.98743163]"
Gradient Boosting,2.046188318549345,45.308407210384566,1.5335990754665707,30.794513521401228,0.999160832937816,-0.16159631634914917,-442.6406097819699,"[418.0438631  419.47749222 421.31108751 418.13323282 421.65887605
 418.06391241 420.51113254 414.7670535  422.59427236 418.75596016
 420.66014139 417.11189091 419.48515489 410.76748186 411.34854655
 415.07689313 411.77445456 407.41499562 406.25641273 407.27425446
 408.78143945 411.92715403 406.55096567 413.33406545 407.7921739
 407.35955319 409.11520014 410.18703587 412.9124319  414.86713633
 413.64032956 418.90261147 417.27507329 417.45239312 414.25371961
 418.20391342 416.20794783 416.53564917 418.15623098 417.07741164
 419.23780382 418.3025446  415.48191038 416.74911298 415.35425068
 414.96989295 409.93090583 409.52485095 412.57664995 415.31088704
 415.99663028 417.06762842 416.72292424 418.50129064 418.6412471
 416.09354066 415.95541664 418.07941483 417.72827801 415.442278
 413.86167552 416.38736136 415.69569426 420.57777414 419.66393926
 418.57355551 415.62136842 415.05606973 418.0482067  417.1173453
 416.09906832 414.53169395 413.53974564 417.27061266 410.55452466
 415.27970603 419.31585229 413.69071528 412.36460645 410.62297495
 410.63816961 413.93215073 416.18503456 409.45188952 407.41423908
 410.28060889 414.4145939  411.79628202 413.10856115 414.99972322
 413.03077651 408.97542323 416.93642511 413.27141909 412.28530694
 411.943554   410.87598134 414.933188   414.54209408 416.78525432
 411.98531464 418.91110609 418.81161011 416.21772341 415.35593605
 415.23620179 415.45680439 418.67490624 415.90810233 417.24727767
 416.33614581 410.00531223 414.59031514 412.98644482 406.39259573
 413.11748316 410.90523038 415.64228992 417.07661873 419.37085329
 418.72911615 417.48284303 414.34792075 415.2359254  412.89326583
 415.79772596 416.32646181 418.78782446 415.09465517 415.1252517
 414.75297172 411.97307998 413.30848452 414.15290649 413.81491751
 410.5084954  413.43614437 415.95139027 412.21367323 415.98862516
 415.7652867  415.71447589 413.79892914 417.21415494 417.42737983
 417.63456992 417.33891197 413.56531468 418.50311107 417.34363521
 414.5552207  417.76096337 416.2698492  407.57764569 415.99952689
 414.15483985 417.93460987 417.31021234 420.01023292 417.27051811
 414.13351799 416.75844521 419.15256118 417.23136981 413.8629446
 419.04295777 419.32827596 417.33062726 417.37158108 420.2521141
 419.11214709 420.08320217 415.77507042 420.85462592 421.04034347
 420.49454181 420.50781682 420.05946913 419.20630631 420.55558679
 417.78785777 422.06615217 418.2731224  417.33829288 420.16908376
 419.55551124 414.9758558  418.97511202 417.20678317 417.18734639
 422.38593687 418.80079099 416.151225   414.22756729 412.93137549
 414.80236322 413.59089256 415.25202812 414.60308185 419.46679064
 412.66209591 414.6496294  417.03327034 418.66535153 418.39673175
 418.72248499 417.35996077 418.83464707 416.57733187 415.59287145
 414.10008174 419.71556539 416.09313814 409.40572313 416.91860802
 416.58829519 418.97684353 417.45767336 417.55025803 414.0127164
 416.59721308 415.47849367 414.86592867 413.23903156 416.19091619
 417.85054789 418.40741631 418.81681809 414.55353727 412.57422354
 410.57031243 412.38778433 406.17354234 410.85940425 407.98491505
 409.56837985 410.04038772 405.95118312 410.13924925 406.95552618
 407.04385869 406.50946868 406.74223006 404.65954889 406.60314917
 405.22992968 405.2066393  404.09953678 405.63662299 406.25945022
 404.47829066 403.94918872 403.93938322 402.29545329 399.15850146
 402.37455315 402.86825799 397.23620842 393.5555286  378.01613322
 395.82876084 387.87094354 393.25881588 397.81922264 396.17560212
 396.56122063 389.99372605 389.9390995  388.81958587 388.13179985
 392.18755545 396.47195144 394.1914835  394.83561198 397.07398265
 394.46878172 399.82283547 402.6634961  407.26318921 407.94361941
 410.03249463 408.59982266 413.49345604 410.68631422 409.33067627
 410.99886108 410.88286199 414.49174753 416.757829   415.27992182
 415.40634205 418.35029998 417.17089813 416.8082704  415.91012566
 419.60642451 418.51118759 419.25910781 417.75107133 419.30144252
 418.84513624 417.14021155 417.72673192 415.20660922 415.56483124
 415.36839523 414.75604529 415.42111971 414.4366043  415.35422233
 413.35953892 415.04872034 414.35691439 417.69261245 416.71255377
 417.21361031 417.4067354  415.56083066 419.52036927 419.80136684
 418.89639327 419.36815053 418.42196989 417.60127453 419.04584338
 419.29491429 421.28479436 420.25441613 418.63931496 417.01461826
 417.6382004  414.64335692 418.03269735 418.04337827 416.63601672
 416.24613644 417.07825747 417.1325534  416.13488916 412.42388188
 415.86637406 417.53167338 418.63276732 418.15661708 421.95287689
 420.70574631 420.50830268 416.79667498 418.48463928 416.53336731
 415.70839135 414.63510503 414.70106885 416.56355852 419.06893246
 415.13532174 414.53097043 419.4426312  419.24974538 416.02786735
 415.6322899  419.98039566 419.26796454 413.94044984 419.01052372
 418.32365698 418.76179377 415.65898975 420.62516936 421.26329707
 416.49458139 421.06033178 417.10837997 419.10937946 415.50355028
 416.6577366  421.29736384 419.11677571 422.53361465 419.91252715
 420.81245533 419.82238948 416.47472723 419.37111706 419.5787901
 417.81443917 421.20603916]"
